SMOC1|Q9H4F8-2
CTNND1|O60716-3
LAMTOR1|Q6IAA8
MAPRE1|Q15691
MRPL38|Q96DV4
PDE12|Q6L8Q7
ACOT7L|Q6ZUV0
GOT2|P00505
BRIX1|Q8TDN6
PRDX2|P32119
EEF1G|P26641-2
TMEM132B|Q14DG7
G3BP1|Q13283
RHOBTB3|O94955
DNAJC12|Q9UKB3
MARK2|E9PC69
SLC8A3|P57103
ATP6V0A1|K7EN36
BOLA3|Q53S33
CHRM1|P11229
CAMK1|Q14012
NSUN2|Q08J23
BSDC1|Q9NW68-3
SH3GL1|Q99961
DDX21|Q9NR30
TIPRL|O75663
CTPS2|Q9NRF8
MRS2|Q9HD23-4
CRYM|Q14894
RAB14|P61106
MAP7|Q14244-7
C10orf54|Q9H7M9
ANXA7|P20073
ATG16L1|E7EVC7
NEB|P20929
PPP2R5E|Q16537
BTD|P43251-2
NUDT18|Q6ZVK8
PHB2|Q99623
DAGLA|Q9Y4D2
KCNIP4|Q6PIL6
PCYT1B|Q9Y5K3
CTNNA1|P35221
TTYH3|Q9C0H2-4
GNA15|P30679
SLC12A5|Q9H2X9
NCBP1|Q09161
SRPK2|P78362
PIPOX|Q9P0Z9
MSI2|Q96DH6
PRKAR1B|P31321
PRCP|P42785
RIMS1|Q86UR5-6
MTDH|Q86UE4
NTNG1|Q9Y2I2
ITSN1|Q15811
TYROBP|O43914
TMEM35|Q53FP2
GPRASP1|Q5JY77
AK2|P54819
STXBP1|A0A096LP52
SLC25A4|P12235
PTMA|H7C2N1
LOH12CR1|Q969J3
DAGLB|Q8NCG7
PZP|P20742
HSPH1|Q92598-2
TTYH3|Q9C0H2
TBK1|Q9UHD2
CD58|P19256
RILPL1|Q5EBL4
APOOL|A0A087WYF7
NEK7|Q8TDX7
SFXN4|Q6P4A7
RBKS|Q9H477
FDPS|P14324
SLC44A2|Q8IWA5
HSPA8|P11142
RIMS1|Q86UR5
LRRTM4|B8ZZ84
ZMYM2|Q9UBW7
RC3H1|Q5TC82
ATPAF1|I3L448
RSU1|Q15404
HIST2H2AA3|Q6FI13
LRRTM3|Q86VH5
RIMS1|Q86UR5-7
ZDHHC14|Q8IZN3
PCP4|P48539
NUDT19|A8MXV4
HSPH1|Q92598
BCAS3|Q9H6U6-8
CADPS2|A0A087X1P3
PABPC1L2A|Q5JQF8
RPL19|P84098
BCLAF1|Q9NYF8
WDR13|A0A087X091
OSTM1|Q86WC4
DPP10|Q8N608-3
RPRD1B|Q9NQG5
GNAZ|P19086
MDP1|Q86V88
CYP27A1|Q02318
ATAD1|Q8NBU5
PHPT1|Q9NRX4
LRRC7|Q96NW7
SEPW1|M0QYX1
APBA1|Q02410
PSMA6|G3V5Z7
FAM107B|Q9H098-2
HNRNPH3|P31942
EXOC2|Q96KP1
ALDH3A2|P51648-2
UBE2D1|P51668
COPS5|Q92905
RNF214|Q8ND24
PPM1E|Q8WY54
BBS9|Q3SYG4
PCDH7|O60245-2
NT5C2|Q5JUV4
PMVK|Q15126
CDK5|Q00535
GGACT|Q9BVM4
MIF4GD|A9UHW6-3
ATP6V0A4|Q9HBG4
NCKAP1|Q9Y2A7-2
CNNM2|Q9H8M5
LRFN5|Q96NI6
NEURL1|O76050
BECN1|Q14457
NDUFS5|O43920
ACOT13|Q9NPJ3
NOVA1|P51513
NASP|P49321-3
RIMS1|Q86UR5-8
RAB3D|O95716
EFNB1|P98172
SNRPD2|P62316
PPID|Q08752
HTT|P42858
RTF1|Q92541
GCDH|Q92947
HSPA9|P38646
FLII|Q13045
NDRG2|G3V5V9
KAZN|Q674X7
SLC7A11|Q9UPY5
HBD|E9PEW8
SAFB2|Q14151
INPPL1|O15357
WASF2|Q9Y6W5
FBXO44|Q9H4M3
ERBB2|P04626
ITGA7|Q13683-3
ZDHHC9|Q9Y397
FAU|E9PR30
QDPR|P09417
TCIRG1|Q13488
PTGES2|Q9H7Z7
DENND1A|Q8TEH3
SRP54|P61011
ELOVL4|Q9GZR5
PLS3|A0A0A0MSQ0
BCAT1|P54687-5
GRB2|P62993
SETSIP|P0DME0
PTGES3|Q15185
BRK1|Q8WUW1-2
HAPLN4|Q86UW8
PTGES3|A0A087WYT3
RAB10|P61026
SBF2|Q86WG5
ASNSD1|U3KQP1
FBXL16|Q8N461
VPS37D|Q86XT2
SH3PXD2B|A1X283
PRCC|Q92733
PRCP|P42785-2
TMEM30A|Q9NV96
CHST1|O43916
CCDC88A|Q3V6T2-3
FMNL2|Q96PY5-3
GIT1|Q9Y2X7-3
NRXN2|P58401
FLII|Q13045-2
ATP6V1H|Q9UI12
KATNAL2|Q8IYT4
DDX23|Q9BUQ8
DPP10|Q8N608
DOC2A|Q14183
PRKAR2B|P31323
PTP4A3|O75365
FLOT1|O75955
RAB11FIP5|Q9BXF6
QPRT|Q15274
RBBP7|Q16576
SCN3A|Q9NY46
NDRG2|Q9UN36
SRRT|Q9BXP5
RRAGB|Q5VZM2
PPFIA2|O75334
GSTCD|Q8NEC7
NAPA|M0R0I4
CD99L2|Q8TCZ2
FGL2|Q14314
CD99L2|Q8TCZ2-3
VTN|P04004
CD200|P41217-3
FAM49A|Q9H0Q0
RAB3C|Q96E17
TICAM2|Q86XR7-2
HSPA8|E9PK54
EMC1|Q8N766
MARS|P56192
PDPR|Q8NCN5
PRKCB|P05771
ACTR2|F5H6T1
DHX16|O60231
NIPSNAP1|H7C2U6
CENPV|Q7Z7K6-3
PSMA1|P25786-2
C2CD5|Q86YS7-5
AGO3|Q9H9G7
ARPC4|P59998-3
RPS3A|P61247
ODR4|Q5SWX8
EDF1|O60869
TCOF1|Q13428-3
NEK9|Q8TD19
DPP10|Q8N608-2
LGALS3BP|Q08380
SLTM|Q9NWH9
VPS51|E9PKX7
KDSR|Q06136
SDC3|O75056
MTSS1L|Q765P7
CAST|D6RBR1
RPL26|P61254
CD2AP|Q9Y5K6
TRIM46|Q7Z4K8
MAP3K13|O43283
ATP5A1|P25705
CCDC127|Q96BQ5
PGPEP1|Q9NXJ5
JAKMIP1|Q96N16-2
MTAP|F8WES2
CLIC4|Q9Y696
FAIM2|Q9BWQ8
HCFC1|A6NEM2
BRD3|Q15059
PPAPDC2|Q8IY26
CENPV|Q7Z7K6
ANKS1B|Q7Z6G8-3
PKM|P14618
SMARCD2|Q92925
GPR37|O15354
CECR6|Q9BXQ6
IQSEC1|A0A0C4DGT3
TIMM17B|O60830
ATP2C1|B4E2Q0
BAI3|O60242
ANKS1B|Q7Z6G8-2
NIPSNAP3A|Q9UFN0
UNC5D|C9J2B6
CBL|P22681
YIPF5|Q969M3-3
FUK|Q8N0W3-2
PSMG3|Q9BT73
USP32|Q8NFA0
TP53BP2|Q13625-3
TOM1L2|B7Z2U2
SLC25A46|Q96AG3
FIBP|O43427
DHX36|Q9H2U1
TIMM17B|O60830-2
KIAA0195|J3QSG7
LAS1L|Q9Y4W2
C2CD5|Q86YS7-3
CD38|P28907
TTC7B|Q86TV6
GTF2IRD2B|A0A087WW90
RBMS3|Q6XE24
ACSL6|Q9UKU0-1
SBDS|A0A087X020
SPTA1|A0A087WZE4
LRRFIP2|Q9Y608
GRID1|Q9ULK0
CCDC94|Q9BW85
NAMPT|P43490
F12|P00748
GALK1|P51570-2
PNPLA8|Q9NP80
TNPO1|Q92973
TLK1|Q9UKI8
OTUD7B|Q6GQQ9
ACAN|E7EX88
MARK2|Q7KZI7
RALGAPA1|Q6GYQ0-2
GOLGB1|Q14789-2
YWHAZ|P63104
SLC7A2|P52569-3
PRKCD|Q05655
PRR36|Q9H6K5
ANLN|Q9NQW6
EMC8|O43402
GFOD1|Q9NXC2
CDR2L|Q86X02
USP27X|A6NNY8
KLC1|F8W6L3
CSNK1E|P49674
EIF1|K7EM18
TRAPPC11|Q7Z392
SIRT3|E9PN58
TBXAS1|A0A0C4DH47
NRCAM|Q92823-5
ASNA1|O43681
PI4KA|J3KN10
SNX2|O60749
PPOX|P50336
ACVR1C|Q8NER5
STK38L|Q9Y2H1
SPTLC1|O15269
KCNA4|P22459
DSCR3|O14972
TCOF1|Q13428-4
SLC12A6|Q9UHW9
AIF1L|Q9BQI0
RBBP7|Q16576-2
DOS|Q8N350
SNRK|Q9NRH2
ALDOA|P04075-2
TLK2|Q86UE8
GNG2|G3V2N0
OXSM|Q9NWU1
MT-ND6|P03923
INPP5A|Q14642
FMNL2|Q96PY5
IQGAP3|Q86VI3
LPGAT1|Q92604
DRG2|P55039
PCDH19|Q8TAB3
AFAP1|Q8N556-2
PPIAL4C|A0A0B4J2A2
AKR1C3|A0A0A0MSS8
PURG|Q9UJV8
ATP1B2|P14415
ABHD14A-ACY1|C9JMV9
MRPL1|Q9BYD6
HCFC1|P51610
TTC7B|Q86TV6-2
THSD7A|Q9UPZ6
NUB1|H3BM74
MIEF1|B0QY95
ASNSD1|L0R819
FAF1|Q9UNN5
ABCB8|Q9NUT2
MET|P08581-2
TLK1|Q9UKI8-2
THSD7A|A0A087WY08
SRRT|Q9BXP5-3
HLA-E|Q2L6I5
ACSL6|Q9UKU0-8
PPP3CC|P48454-3
TLK2|Q86UE8-2
TSR2|Q969E8
HDHD2|Q9H0R4
DHX38|Q92620
TCEAL6|Q6IPX3
PTRH2|J3KQ48
APLP1|K7EMN4
PRKCDBP|Q969G5
HIST1H4A|P62805
SPATS2L|Q9NUQ6-3
EFHD2|Q96C19
CYP51A1|A0A0C4DFL7
C2CD5|Q86YS7-4
RBMS1|P29558
RABGAP1|Q9Y3P9
MRPL2|Q5T653
HNRNPU|Q00839
FAM96A|Q9H5X1
PRKCD|Q05655-2
MARS2|Q96GW9
PPP1R14C|Q8TAE6
KIAA1324|Q6UXG2
SYT7|O43581-2
CDK16|Q00536-2
UBBP4|J3KSM4
TTC5|Q8N0Z6
YAF2|Q8IY57-5
CELF2|O95319
OTUD7A|Q8TE49-2
DDX17|H3BLZ8
PLCXD3|Q63HM9
IST1|P53990-5
SEZ6L|Q9BYH1
PHYHIP|Q92561
CLVS2|Q5SYC1
KLC1|Q07866-8
CHID1|Q9BWS9
MPDU1|A0A087WV81
MOCS1|Q9NZB8
CYB5A|P00167
CNOT1|A5YKK6
AAK1|A0A096LP60
MFSD11|O43934
PSMD5|Q16401
HTRA2|O43464
SNTB2|Q13425
PRDX3|P30048
H3F3A|P84243
CCDC132|Q96JG6
EXOSC6|Q5RKV6
MDGA2|Q7Z553-3
PLXND1|Q9Y4D7
PDZD11|Q5EBL8-2
PANK4|Q9NVE7
TXNRD2|Q9NNW7
GNG10|P50151
CNKSR2|Q8WXI2-4
IST1|P53990-2
MAPK8IP3|A0A087WYG2
S100A13|Q99584
ARL15|A0A087WUW9
RAB37|Q96AX2-2
KIF27|Q86VH2
COPS3|Q9UNS2
VCP|P55072
YEATS2|Q9ULM3
CELF2|E9PC62
LSM14B|Q9BX40
DBNL|Q9UJU6-2
OXR1|Q8N573-2
SEPSECS|Q9HD40
SMAD1|Q15797
GRHPR|Q9UBQ7
RNASEL|Q05823
SCARB2|Q14108
RYBP|Q8N488
RTN3|O95197-3
YWHAZ|E7EX29
DNPEP|B9ZVU2
IMMT|Q16891-4
ABCC8|Q09428-2
RABGAP1L|Q5R372-5
ADRBK2|P35626
GFM1|Q96RP9
MAT2B|Q9NZL9
BEGAIN|Q9BUH8
C2orf47|Q8WWC4
CHUK|O15111
SEL1L|Q9UBV2
GNB1|P62873
RUNDC3A|Q59EK9-2
TUBA3E|Q6PEY2
NOP2|A0A087WV73
PPP2R2B|Q00005-7
KCTD12|Q96CX2
DHTKD1|Q96HY7
YAF2|A0A0B4J255
HTATSF1|O43719
AKR1B15|C9JRZ8-2
MAP6|Q96JE9
TUBA3C|Q13748
PRR18|Q8N4B5
C19orf53|Q9UNZ5
AKR1C2|P52895
CCDC22|O60826
ME3|Q16798
DDX39A|O00148
MICALL1|Q8N3F8
LAMA1|P25391
DBNL|Q9UJU6-3
MT-ATP6|P00846
PIEZO1|Q92508
DLG2|Q15700-2
GABRA2|E9PBQ7
DIS3L2|Q8IYB7
CUL3|Q13618
MBOAT7|Q96N66
AKR1C2|A0A0A0MSD5
SMAD5|Q99717
L2HGDH|Q9H9P8
DDX19A|Q9NUU7
CACNA1A|O00555-4
ACSS1|Q9NUB1
SNX15|Q9NRS6
GFM1|Q96RP9-2
TMPO|P42167
RPL26L1|Q9UNX3
OPA3|Q9H6K4
DUSP23|Q9BVJ7
NCOA4|Q13772-4
UNC5A|Q6ZN44
ATXN2L|H3BUF6
SLC6A7|E5RJL1
SRPK2|P78362-2
FAM50A|Q14320
ADAP1|O75689
VPS13A|Q96RL7
CNKSR2|Q8WXI2
SYT4|Q9H2B2
FOXRED1|Q96CU9
RFC5|P40937
RPS24|P62847-4
CDH5|P33151
RHOT1|Q8IXI2-3
SLC17A7|Q9P2U7
GLDC|P23378
UAP1L1|Q3KQV9
CACNA1I|Q9P0X4
PLRG1|O43660
BEX4|Q9NWD9
CBX5|P45973
SLIT3|O75094-4
ASL|P04424
HSD17B4|P51659
NUDT16L1|Q9BRJ7
ANKS1B|Q7Z6G8-10
PCDHGC3|Q9UN70
LLGL2|Q6P1M3
SYNE2|Q8WXH0-2
SPTLC2|O15270
FKBP8|Q14318-2
MOBP|Q13875-4
PHYHD1|Q5SRE7
ARHGEF4|A0A0C4DFY6
SBF1|G5E933
SNX5|Q9Y5X3
STIP1|P31948-2
SH3KBP1|Q96B97
UMPS|P11172
CHID1|Q9BWS9-2
RNPS1|Q15287
NUP85|Q9BW27
IGHV3OR16-9|A0A0B4J2B5
PXK|Q7Z7A4
GPD2|P43304
ARR3|A0A087WWQ5
KIAA1598|A0MZ66
HSPA2|P54652
HNRNPK|P61978-3
MYO9B|M0R0P8
PITRM1|Q5JRX3-2
PITRM1|Q5JRX3
PPIB|P23284
DHCR7|Q9UBM7
CTSH|P09668
TTC21B|Q7Z4L5
PARL|Q9H300
SLC35B2|Q8TB61
PCCB|E7EX59
EIF2B4|Q9UI10-2
CARM1|Q86X55
ADD1|P35611-6
RHOT1|Q8IXI2-7
UBA6|A0AVT1
DAB1|O75553
CHP1|Q99653
SPTBN4|Q9H254
SH3KBP1|Q5JPT2
TMED1|Q13445
PHLPP1|O60346
PPP2R5C|Q13362-4
RBBP4|Q09028-2
SEC61A2|Q9H9S3
DYNLT3|A6NGJ0
TSSC1|A8MUM1
NAA25|Q14CX7
ANK3|H0Y9E9
SPTBN4|C9JY79
EEA1|Q15075
CADPS|H0YFP0
DST|Q03001
KIAA1598|A0MZ66-3
ARHGEF4|Q9NR80
RPS20|P60866-2
MRPL46|Q9H2W6
RUNDC3A|Q59EK9
CCDC51|Q96ER9
RAB37|Q96AX2-3
RABGAP1L|Q5R372-8
DDAH1|O94760
SLAIN1|A0A0A0MSS3
EIF2B4|E7ERK9
DIABLO|Q9NR28
COA1|Q9GZY4
UBL4A|Q5HY81
UBA2|Q9UBT2
NDUFAF2|Q8N183
KBTBD7|Q8WVZ9
PECAM1|P16284
TOMM40|O96008
TXNRD2|D3YTF8
PVRL2|Q92692-2
NOP2|P46087-4
NPEPPS|P55786
RPS20|P60866
TSFM|P43897
CACNB1|Q02641
MP68|P56378
LSAMP|H3BLU2
MRI1|Q9BV20
TBCA|E5RJD8
MYO5C|Q9NQX4
PLCB3|Q01970
TGFBR1|P36897-2
PTBP2|Q9UKA9-2
MAP6D1|Q9H9H5
APEX1|P27695
ABCA2|A0A087WXK5
RPS9|P46781
TRIM56|Q9BRZ2
MVK|Q03426
CYP4F12|A0A0A0MR49
VPS13A|Q96RL7-2
CYP7B1|O75881
PYURF|Q96I23
ARRDC1|Q8N5I2
FBXL2|Q9UKC9
HMBS|P08397
MYCBP2|O75592
RHOT2|Q8IXI1
PGGT1B|P53609
MON1A|X6R3V9
IKBKB|O14920
ACAT2|Q9BWD1
SAP18|X6RAL5
MMAB|Q96EY8
SLC6A17|Q9H1V8
WASH1|A8K0Z3
GOSR2|I3L4Z6
PECAM1|A0A075B738
BPHL|Q86WA6
DYNC1I2|Q13409-2
NOGENE|A6NNZ2
RBBP9|O75884
C9orf16|Q9BUW7
ABCB9|Q9NP78
GPM6A|P51674
DYNC1I2|Q13409-3
TALDO1|P37837
FAM160B1|Q5W0V3
IRF2BP2|Q7Z5L9
TRIP10|Q15642
DIXDC1|Q155Q3
HDGFRP2|Q7Z4V5
IFT88|Q13099
CTGF|P29279
GNPNAT1|Q96EK6
ITPR1|Q14643
SPATA20|Q8TB22-2
STX17|P56962
NDRG4|Q9ULP0-6
FBXW9|Q5XUX1-3
UGT8|Q16880
C2orf43|B5MDU6
RPRD1A|Q96P16
SNX2|O60749-2
NLGN4Y|A6NMU8
ITGA3|P26006-1
SHROOM2|F5H3B6
FBXW9|Q5XUX1
SCN1A|P35498
CPM|P14384
CNTN4|Q8IWV2-3
F8A1|P23610
ST3GAL1|Q11201
CDC42BPA|Q5VT25-2
MRPL28|Q13084
STAB1|Q9NY15
SNRPF|P62306
MCTP1|H0Y9Y6
RAB6A|P20340
GRIA4|P48058
TSPAN5|P62079
CAMK2B|Q13554
CACNA2D2|C9JVC9
CHURC1-FNTB|B4DL54
DHRS11|Q6UWP2
ARHGEF7|Q14155-5
BCAR3|O75815
TPM1|P09493
CHN1|P15882
HDGFRP2|Q7Z4V5-3
BPTF|Q12830
WDR48|Q8TAF3
XPOT|O43592
NDRG1|Q92597
SNCB|Q16143
NCAM1|A0A087WX77
VPS37A|Q8NEZ2
RPL10A|P62906
FBXO31|Q5XUX0
ARVCF|O00192
ATP6V1C1|E7EV59
HCN4|Q9Y3Q4
EGLN1|Q9GZT9
CACNG8|Q8WXS5
RABGEF1|Q9UJ41
FUCA1|P04066
FAM155A|B1AL88
RPL34|P49207
ABHD14B|Q96IU4
RHBDD2|Q6NTF9-2
MRPL43|Q8N983-4
FN3KRP|Q9HA64
SERF2|P84101-2
BAG1|J3QTA2
GBA2|Q9HCG7
CCDC88A|Q3V6T2
ANKRD24|M0QZ18
ZNF326|Q5BKZ1
SYNPR|Q8TBG9-2
ABCB7|O75027-2
ASPH|Q12797
EHBP1|Q8NDI1
GPC6|Q9Y625
MRPL43|Q8N983-7
TMEM56|Q96MV1
ITGA3|P26006
CARS|P49589-3
NOGENE|H3BVE0
IGSF1|Q8N6C5-4
NFU1|Q9UMS0
ATG2A|Q2TAZ0-3
CPQ|A0A087WYY1
ANAPC1|Q9H1A4
MTCL1|Q9Y4B5
SEC23A|Q15436
CARKD|Q8IW45
CC2D1A|Q6P1N0
PPAP2B|O14495
GLYR1|Q49A26
ACAT2|Q9BWD1-2
CPNE2|Q96FN4
CACNB4|O00305
CP|P00450
PDXK|O00764
WARS|G3V227
CACNA2D2|Q9NY47
TUBA1C|F5H5D3
SLC4A1|P02730
RAB30|Q15771
MT-CO1|P00395
SHROOM2|Q13796
IK|A0A087X1R5
PRDX5|P30044
RPS17L|P0CW22
ERC2|O15083
LRRC16A|Q5VZK9
MYCBP2|O75592-2
EXOSC8|Q96B26
CCT6B|Q92526
LPPR4|Q7Z2D5
NASP|H0YDS9
ALDH1A1|P00352
EPS8L2|Q9H6S3-3
RAD21|O60216
DNPEP|E7ETB3
PIGBOS1|A0A0B4J2F0
RDH14|Q9HBH5
ALDH4A1|P30038
CRELD1|Q96HD1
ATP6V1G2|H0Y474
PRKCDBP|E9PIE3
IK|Q13123
CRBN|Q96SW2
MECR|Q9BV79
CSTF2|P33240
CFDP1|Q9UEE9
CBLB|Q13191
NONO|Q15233
UQCC1|Q9NVA1
LZTFL1|Q9NQ48
RABEPK|Q7Z6M1
CHML|P26374
RPTOR|Q8N122
CYFIP2|Q96F07-2
RPS17|A0A075B716
OXR1|Q8N573-5
TUBA4A|P68366
ALDH7A1|P49419
CRK|P46108-2
AKT2|P31751
SNRNP200|O75643
GUCY1A2|P33402-3
NUP98|P52948
SRGAP2|A2RUF3
BEGAIN|G3V3A2
SLC44A2|Q8IWA5-2
PSEN2|B1AP22
OSBPL8|Q9BZF1
TFAM|Q00059
ABRACL|Q9P1F3
KCNQ2|Q4VXP6
CASC3|O15234
ALDH6A1|Q02252
APBB1|O00213
CDC42BPA|Q5VT25-6
CDC42BPA|Q5VT25
SEMA4D|Q92854
ITSN1|Q15811-2
TCEAL7|Q9BRU2
ITFG1|Q8TB96
PTPRT|O14522-1
HEBP2|Q9Y5Z4
CRELD1|Q96HD1-2
CSNK2B|Q5SRQ6
TPM3|P06753-6
SFXN4|Q6P4A7-3
SH3BP1|Q9Y3L3
NECAB3|Q96P71
NT5C2|P49902
TSSC4|Q9Y5U2
BZW1|Q7L1Q6-3
B3GAT3|O94766
ABHD10|Q9NUJ1
HAGH|Q16775
SAFB|Q15424-3
MRPS30|Q9NP92
CFAP20|Q9Y6A4
MKRN2|Q9H000
PCM1|Q15154
CYFIP2|Q96F07
PI4KB|Q9UBF8-2
SGTA|O43765
MESDC2|Q14696
PSMD2|Q13200
C9orf64|Q5T6V5
AIF1L|Q9BQI0-2
ANKRD30B|Q9BXX2
CAMSAP2|Q08AD1-2
CERS1|P27544
WDR13|Q9H1Z4
NUP214|P35658-5
COX7B|P24311
LGALS1|P09382
CAMSAP2|Q08AD1
PSMB9|P28065
BCL2L2|Q92843-2
LRRC49|Q8IUZ0-2
LMTK3|A0A0A0MQW5
PANX1|Q96RD7
SORBS2|O94875-11
PHKB|Q93100
MOAP1|Q96BY2
ZDHHC8|Q9ULC8-3
MPV17|E7EX18
REEP1|Q9H902-3
SLC3A2|P08195-4
CRYAB|P02511
SH3KBP1|Q5VSN0
OSBPL10|Q9BXB5
ATXN2L|Q8WWM7-3
MDC1|Q14676
KCNQ2|O43526-2
PTPRT|B1AJR9
PRPF4B|Q13523
IDH3B|O43837-2
HMGB3|O15347
ALDH7A1|P49419-2
RGN|Q15493
NIPAL3|Q6P499
CTSB|P07858
NUBP2|H3BNS4
ISOC2|Q96AB3-2
REEP1|Q9H902
NRBF2|Q96F24
PYGL|P06737
SLC3A2|P08195
TPR|P12270
MRPL47|Q9HD33
PYCARD|Q9ULZ3
SLC1A1|P43005
SLC3A2|P08195-3
ELOVL5|Q9NYP7-2
HLA-A|P01892
PCOLCE|Q15113
MAP3K4|Q9Y6R4
SLC1A2|H0YEK4
UBE2H|P62256
NOMO3|J3KN36
ARFGAP2|Q8N6H7
ADAP1|O75689-2
PTN|P21246
NECAB2|Q7Z6G3
GXYLT1|Q4G148
HK2|P52789
APBB1|J3KPL8
UFD1L|Q92890-1
C11orf73|Q53FT3
U2AF2|P26368
CCRN4L|Q9UK39
GPS2|I3L3Y9
WDR77|Q9BQA1
SH3GLB2|B7ZC39
RTN4R|H7C215
PUS1|Q9Y606
ISOC2|Q96AB3
AGAP3|Q96P47-4
VPS33A|Q96AX1
ALDH5A1|P51649-2
FGFR1OP2|Q9NVK5-2
SMARCE1|Q969G3
SPOCK1|Q08629
FN3K|Q9H479
TMEM9B|Q9NQ34
EHBP1|Q8NDI1-2
TCEB2|Q15370-2
CDC37|Q16543
CYFIP2|A0A087X0D6
ASAP1|H0YBM4
KCNQ2|O43526-4
PDPK1|O15530-2
SMPD4|Q9NXE4-4
DARS2|Q6PI48
PI4KB|A0A0B4J1S8
EPRS|P07814
CPNE8|Q86YQ8
SNCA|P37840
FASTKD5|Q7L8L6
PITPNC1|A0A0C4DGP0
DPP8|Q6V1X1
PTK2|E7ESA6
RPL30|P62888
GUCY1A2|P33402-2
CYB5R2|Q6BCY4
NOMO2|Q5JPE7
KCNQ2|O43526
PSEN1|P49768
NUDT4|Q9NZJ9
FAM124A|Q86V42-2
GAR1|Q9NY12
SCYL1|Q96KG9-2
FGB|P02675
APLP1|P51693
VAV2|P52735
SYTL2|Q9HCH5-6
SYTL2|Q9HCH5-13
NCKAP1L|P55160
AP1S1|H7C1E4
PSMD12|O00232
SCYL1|Q96KG9
BAX|Q07812-2
SPG20|Q8N0X7
SORBS2|O94875-7
ATP5H|O75947
KCNAB1|Q14722-2
KCNAB1|Q14722
ACP1|P24666-2
LYNX1|Q9BZG9-2
MAP2|P11137-3
INPP5E|Q9NRR6
RTCB|Q9Y3I0
CCT7|Q99832
VPS41|P49754
GPX1|P07203
MTCH2|Q9Y6C9
CD2BP2|O95400
RAB21|Q9UL25
NARFL|Q9H6Q4
SPATS2|Q86XZ4
COLEC12|Q5KU26
HLA-A|P10316
USP4|C9JNU9
GPN1|Q9HCN4-5
ACAA1|P09110
PIGK|Q92643
GTF3C1|Q12789
SLC15A2|Q16348
CBR3|O75828
TOP2B|Q02880-2
RAPGEF1|Q13905-4
BPGM|P07738
ZFYVE1|G3V5N8
SPTBN1|Q01082
SPATA5|Q8NB90
SYTL2|Q9HCH5-8
GAD2|Q05329
GNG4|P50150
RAPGEF1|Q13905-3
MAPKAPK3|Q16644
WASH2P|Q6VEQ5
SDF2|Q99470
HAPLN2|Q9GZV7
MAP2|P11137
FTO|Q9C0B1
GPKOW|Q92917
PSMD11|O00231-2
HIST2H3A|Q71DI3
NFIA|Q12857-4
SLC6A15|Q9H2J7
ATP5C1|P36542
SDHAF4|Q5VUM1
HIF1AN|Q9NWT6
CROT|Q9UKG9-3
CDC37L1|Q7L3B6
CIB1|Q99828
ABL2|P42684-5
NDUFAF3|Q9BU61
PIK3R1|P27986-4
MOB3B|Q86TA1
OLA1|J3KQ32
ARPP21|Q9UBL0-2
NUBP2|Q9Y5Y2
SYT9|Q86SS6
VPS26B|Q4G0F5
PTPRT|B1AJR6
BAZ1B|Q9UIG0
PEX11B|O96011
VCAN|P13611-2
FGA|P02671
ABL2|P42684
PFKFB2|O60825
PRPS1|P60891
EIF5A2|Q9GZV4
SEP15|A0A0B4J1S4
UFM1|P61960
PIN4|Q9Y237-2
CRYZL1|O95825
NMD3|C9JA08
RPS13|P62277
FTL|P02792
BSDC1|Q9NW68
DPP8|H0YK36
LCMT1|Q9UIC8-2
NOP56|O00567
STRIP1|Q5VSL9
EPPK1|P58107
PCCA|P05165
CRYM|I3NI53
PIK3R1|P27986
IGF2R|P11717
RPL14|P50914
LAMA2|P24043
LRRC8A|Q8IWT6
KLHL4|Q9C0H6-2
NOGENE|A8MVJ9
CAMK2A|Q9UQM7-2
TPD52L2|O43399-3
STRN4|Q9NRL3-3
NUP214|P35658-3
KIF2C|Q99661
GOSR2|E7EQ34
WDR24|Q96S15-2
SEPT11|Q9NVA2-2
CNDP1|Q96KN2
CIB1|Q99828-2
CYBB|P04839
ADAM22|Q9P0K1
DNM3|Q9UQ16-2
PSMD11|O00231
WASF3|Q9UPY6
PPP4R2|Q9NY27
COMMD5|Q9GZQ3
WBP11|Q9Y2W2
SUN2|Q9UH99-2
SUN2|Q9UH99
ADCK5|Q3MIX3
CACNB2|Q08289
KLHL4|Q9C0H6
ARHGEF37|A1IGU5
ANKRD11|Q6UB99
TMEM132E|Q6IEE7
GOLT1B|Q9Y3E0
LYRM7|Q5U5X0
ARHGEF2|V9GYF0
RANBP6|O60518
STEAP2|Q8NFT2
C17orf75|J9JIC5
GSTM3|P21266
ATP5C1|P36542-2
FAM129A|Q9BZQ8
TOP2B|Q02880
TMPO|P42167-2
RGS12|O14924-3
PPP2CB|E5RHC1
NDRG3|Q9UGV2-2
CSTF2|E7EWR4
XPC|Q01831
SLC9A6|Q92581-3
LSM6|P62312
HSPA4|P34932
NAT8L|Q8N9F0
CUTC|Q9NTM9
ZHX3|Q9H4I2
WDR81|Q562E7
MBP|P02686-6
MPP7|Q5T2T1
L3HYPDH|Q96EM0
HMGB2|P26583
NOVA2|Q9UNW9
WDR59|Q6PJI9
EPPK1|A0A087X1U6
CLCC1|Q96S66
KIF1B|O60333-3
ZC2HC1A|H0YAP0
PTP4A1|Q93096
SDCBP|G5EA09
TMEM33|P57088
NOGENE|J3KTA2
POLR2E|P19388
STK32C|Q86UX6
