"CSF-PR / CSF GLYCO MIXED-MODE / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
6324.00,"SINGLE PROTEIN","Q9BZQ4",""," Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 (NMNA2_HUMAN)","1","NMNAT2",0.00,"false",0.00,0.00,0.00,841.00,34.42,0.00,,,,,"false"
6325.00,"SINGLE PROTEIN","Q9BZQ2",""," SHC SH2 domain-binding protein 1-like protein (SHP1L_HUMAN)","1","SHCBP1L",0.00,"false",0.00,0.00,0.00,841.00,80.51,0.00,,,,,"false"
6326.00,"SINGLE PROTEIN","Q9BZQ8",""," Protein Niban (NIBAN_HUMAN)","1","FAM129A",0.00,"false",0.00,0.00,0.00,841.00,103.07,0.00,,,,,"false"
6327.00,"SINGLE PROTEIN","Q9BZQ6",""," ER degradation-enhancing alpha-mannosidase-like protein 3 (EDEM3_HUMAN)","1","EDEM3",0.00,"false",0.00,0.00,0.00,841.00,104.60,0.00,,,,,"false"
6328.00,"UNRELATED PROTEINS","O00337","Q9Y5Y5"," Sodium/nucleoside cotransporter 1 (S28A1_HUMAN)","15","SLC28A1",0.00,"false",0.00,0.00,0.00,841.00,71.54,0.00,,,,,"false"
6329.00,"SINGLE PROTEIN","Q8NB90",""," Spermatogenesis-associated protein 5 (SPAT5_HUMAN)","4","SPATA5",0.00,"false",0.00,0.00,0.00,841.00,97.84,0.00,,,,,"false"
6330.00,"SINGLE PROTEIN","Q8NB91",""," Fanconi anemia group B protein (FANCB_HUMAN)","X","FANCB",0.00,"false",0.00,0.00,0.00,841.00,97.66,0.00,,,,,"false"
6331.00,"SINGLE PROTEIN","Q6P2M8",""," Calcium/calmodulin-dependent protein kinase type 1B (KCC1B_HUMAN)","X","PNCK",0.00,"false",0.00,0.00,0.00,841.00,38.48,0.00,,,,,"false"
6332.00,"SINGLE PROTEIN","Q8NAX2",""," Keratinocyte differentiation factor 1 (KDF1_HUMAN)","1","C1ORF172",0.00,"false",0.00,0.00,0.00,841.00,43.61,0.00,,,,,"false"
6333.00,"SINGLE PROTEIN","Q7RTM1",""," Otopetrin-1 (OTOP1_HUMAN)","4","OTOP1",0.00,"false",0.00,0.00,0.00,841.00,67.31,0.00,,,,,"false"
6334.00,"SINGLE PROTEIN","O43847",""," Nardilysin (NRDC_HUMAN)","1","NRD1",0.00,"false",0.00,0.00,0.00,841.00,131.49,0.00,,,,,"false"
6335.00,"RELATED PROTEINS","P43626","P43627"," Killer cell immunoglobulin-like receptor 2DL1 (KI2L1_HUMAN)","19","KIR2DL1",0.00,"false",0.00,0.00,0.00,841.00,38.48,0.00,,,,,"false"
6336.00,"SINGLE PROTEIN","Q9BZP3",""," Putative uncharacterized protein encoded by LINC00470 (CR002_HUMAN)","18","LINC00470",0.00,"false",0.00,0.00,0.00,841.00,9.64,0.00,,,,,"false"
6337.00,"SINGLE PROTEIN","C9J3V5",""," Testis-expressed sequence 22 protein (TEX22_HUMAN)","14","TEX22",0.00,"false",0.00,0.00,0.00,841.00,16.87,0.00,,,,,"false"
6338.00,"SINGLE PROTEIN","A8MQB3",""," Uncharacterized protein C17orf51 (CQ051_HUMAN)","17","C17ORF51",0.00,"false",0.00,0.00,0.00,841.00,24.31,0.00,,,,,"false"
6339.00,"SINGLE PROTEIN","O43815",""," Striatin (STRN_HUMAN)","2","STRN",0.00,"false",0.00,0.00,0.00,841.00,86.08,0.00,,,,,"false"
6340.00,"SINGLE PROTEIN","O43813",""," LanC-like protein 1 (LANC1_HUMAN)","2","LANCL1",0.00,"false",0.00,0.00,0.00,841.00,45.25,0.00,,,,,"false"
6341.00,"SINGLE PROTEIN","O43819",""," Protein SCO2 homolog, mitochondrial (SCO2_HUMAN)","22","SCO2",0.00,"false",0.00,0.00,0.00,841.00,29.79,0.00,,,,,"false"
6342.00,"SINGLE PROTEIN","O43818",""," U3 small nucleolar RNA-interacting protein 2 (U3IP2_HUMAN)","3","RRP9",0.00,"false",0.00,0.00,0.00,841.00,51.81,0.00,,,,,"false"
6343.00,"SINGLE PROTEIN","A8MQB9","","PUTATIVE ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN ENSP00000330211 (YR007_HUMAN)","","",0.00,"false",0.00,0.00,0.00,841.00,27.00,0.00,,,,,"false"
6344.00,"RELATED PROTEINS","Q5VWK0","Q86XG9,Q96M43"," Neuroblastoma breakpoint family member 6 (NBPF6_HUMAN)","1","NBPF6",0.00,"false",0.00,0.00,0.00,841.00,72.19,0.00,,,,,"false"
6345.00,"SINGLE PROTEIN","Q8NAV1",""," Pre-mRNA-splicing factor 38A (PR38A_HUMAN)","1","PRPF38A",0.00,"false",0.00,0.00,0.00,841.00,37.45,0.00,,,,,"false"
6346.00,"SINGLE PROTEIN","O43823",""," A-kinase anchor protein 8 (AKAP8_HUMAN)","19","AKAP8",0.00,"false",0.00,0.00,0.00,841.00,76.06,0.00,,,,,"false"
6347.00,"SINGLE PROTEIN","Q9UQK1",""," Protein phosphatase 1 regulatory subunit 3C (PPR3C_HUMAN)","10","PPP1R3C",0.00,"false",0.00,0.00,0.00,841.00,36.42,0.00,,,,,"false"
6348.00,"SINGLE PROTEIN","O43825",""," Beta-1,3-galactosyltransferase 2 (B3GT2_HUMAN)","1","B3GALT2",0.00,"false",0.00,0.00,0.00,841.00,49.18,0.00,,,,,"false"
6349.00,"SINGLE PROTEIN","Q8NB78",""," Lysine-specific histone demethylase 1B (KDM1B_HUMAN)","6","KDM1B",0.00,"false",0.00,0.00,0.00,841.00,92.04,0.00,,,,,"false"
6350.00,"SINGLE PROTEIN","O43824",""," Putative GTP-binding protein 6 (GTPB6_HUMAN)","X","GTPBP6",0.00,"false",0.00,0.00,0.00,841.00,56.85,0.00,,,,,"false"
6351.00,"SINGLE PROTEIN","B4DXR9",""," Zinc finger protein 732 (ZN732_HUMAN)","4","ZNF732",0.00,"false",0.00,0.00,0.00,841.00,67.80,0.00,,,,,"false"
6352.00,"SINGLE PROTEIN","O43829",""," Zinc finger and BTB domain-containing protein 14 (ZBT14_HUMAN)","18","ZFP161",0.00,"false",0.00,0.00,0.00,841.00,50.92,0.00,,,,,"false"
6353.00,"RELATED PROTEINS","A2RRD8","P0CJ79,P17035,Q3MIS6,Q5VIY5,Q6PDB4,Q6ZN06,Q7L2R6,Q86XN6,Q8WV37,Q96IR2,Q9HCG1,Q9NV72"," Zinc finger protein 320 (ZN320_HUMAN)","19","ZNF320",0.00,"false",0.00,0.00,0.00,841.00,59.29,0.00,,,,,"false"
6354.00,"SINGLE PROTEIN","Q7RTR0",""," NACHT, LRR and PYD domains-containing protein 9 (NALP9_HUMAN)","19","NLRP9",0.00,"false",0.00,0.00,0.00,841.00,113.24,0.00,,,,,"false"
6355.00,"SINGLE PROTEIN","Q9BZV1",""," UBX domain-containing protein 6 (UBXN6_HUMAN)","19","UBXN6",0.00,"false",0.00,0.00,0.00,841.00,49.72,0.00,,,,,"false"
6356.00,"SINGLE PROTEIN","Q9BZV3",""," Interphotoreceptor matrix proteoglycan 2 (IMPG2_HUMAN)","3","IMPG2",0.00,"false",0.00,0.00,0.00,841.00,138.53,0.00,,,,,"false"
6357.00,"SINGLE PROTEIN","P62280",""," 40S ribosomal protein S11 (RS11_HUMAN)","19","RPS11",0.00,"false",0.00,0.00,0.00,841.00,18.42,0.00,,,,,"false"
6358.00,"SINGLE PROTEIN","A4FU69",""," EF-hand calcium-binding domain-containing protein 5 (EFCB5_HUMAN)","17","EFCAB5",0.00,"false",0.00,0.00,0.00,841.00,173.29,0.00,,,,,"false"
6359.00,"SINGLE PROTEIN","Q7RTR2",""," Protein NLRC3 (NLRC3_HUMAN)","16","NLRC3",0.00,"false",0.00,0.00,0.00,841.00,114.59,0.00,,,,,"false"
6360.00,"RELATED PROTEINS","P13682","P49910"," Zinc finger protein 35 (ZNF35_HUMAN)","3","ZNF35",0.00,"false",0.00,0.00,0.00,841.00,59.05,0.00,,,,,"false"
6361.00,"SINGLE PROTEIN","P62277",""," 40S ribosomal protein S13 (RS13_HUMAN)","11","RPS13",0.00,"false",0.00,0.00,0.00,841.00,17.21,0.00,,,,,"false"
6362.00,"SINGLE PROTEIN","P0DKB5",""," Trophoblast glycoprotein-like (TPBGL_HUMAN)","11","TPBGL",0.00,"false",0.00,0.00,0.00,841.00,40.37,0.00,,,,,"false"
6363.00,"SINGLE PROTEIN","Q9UQD0",""," Sodium channel protein type 8 subunit alpha (SCN8A_HUMAN)","12","SCN8A",0.00,"false",0.00,0.00,0.00,841.00,225.13,0.00,,,,,"false"
6364.00,"SINGLE PROTEIN","P62273",""," 40S ribosomal protein S29 (RS29_HUMAN)","14","RPS29",0.00,"false",0.00,0.00,0.00,841.00,6.67,0.00,,,,,"false"
6365.00,"UNRELATED PROTEINS","P41091","Q2VIR3"," Eukaryotic translation initiation factor 2 subunit 3 (IF2G_HUMAN)","X","EIF2S3",0.00,"false",0.00,0.00,0.00,841.00,51.08,0.00,,,,,"false"
6366.00,"RELATED PROTEINS","P41743","Q05513"," Protein kinase C iota type (KPCI_HUMAN)","3","PRKCI",0.00,"false",0.00,0.00,0.00,841.00,68.22,0.00,,,,,"false"
6367.00,"SINGLE PROTEIN","Q6ZR08",""," Dynein heavy chain 12, axonemal (DYH12_HUMAN)","3","DNAH12",0.00,"false",0.00,0.00,0.00,841.00,356.71,0.00,,,,,"false"
6368.00,"SINGLE PROTEIN","Q6P2P2",""," Putative protein arginine N-methyltransferase 9 (ANM9_HUMAN)","4","PRMT10",0.00,"false",0.00,0.00,0.00,841.00,94.44,0.00,,,,,"false"
6369.00,"SINGLE PROTEIN","Q6ZQQ2",""," Spermatogenesis-associated protein 31D1 (S31D1_HUMAN)","9","FAM75D1",0.00,"false",0.00,0.00,0.00,841.00,175.51,0.00,,,,,"false"
6370.00,"SINGLE PROTEIN","O43805",""," Sjoegren syndrome nuclear autoantigen 1 (SSNA1_HUMAN)","9","SSNA1",0.00,"false",0.00,0.00,0.00,841.00,13.59,0.00,,,,,"false"
6371.00,"SINGLE PROTEIN","O43809",""," Cleavage and polyadenylation specificity factor subunit 5 (CPSF5_HUMAN)","16","NUDT21",0.00,"false",0.00,0.00,0.00,841.00,26.21,0.00,,,,,"false"
6372.00,"SINGLE PROTEIN","O43808",""," Peroxisomal membrane protein PMP34 (PM34_HUMAN)","22","SLC25A17",0.00,"false",0.00,0.00,0.00,841.00,34.54,0.00,,,,,"false"
6373.00,"SINGLE PROTEIN","Q9UQE7",""," Structural maintenance of chromosomes protein 3 (SMC3_HUMAN)","10","SMC3",0.00,"false",0.00,0.00,0.00,841.00,141.45,0.00,,,,,"false"
6374.00,"SINGLE PROTEIN","Q6ZQP7","","Uncharacterized protein LOC284861 (YV021_HUMAN)","","",0.00,"false",0.00,0.00,0.00,841.00,30.93,0.00,,,,,"false"
6375.00,"SINGLE PROTEIN","Q6P2Q9",""," Pre-mRNA-processing-splicing factor 8 (PRP8_HUMAN)","17","PRPF8",0.00,"false",0.00,0.00,0.00,841.00,273.43,0.00,,,,,"false"
6376.00,"SINGLE PROTEIN","Q7RTP6",""," Protein-methionine sulfoxide oxidase MICAL3 (MICA3_HUMAN)","22","MICAL3",0.00,"false",0.00,0.00,0.00,841.00,224.16,0.00,,,,,"false"
6377.00,"UNRELATED PROTEINS","P51531","P51532"," Probable global transcription activator SNF2L2 (SMCA2_HUMAN)","9","SMARCA2",0.00,"false",0.00,0.00,0.00,841.00,181.17,0.00,,,,,"false"
6378.00,"SINGLE PROTEIN","Q9UQF0",""," Syncytin-1 (SYCY1_HUMAN)","7","ERVW-1",0.00,"false",0.00,0.00,0.00,841.00,59.83,0.00,,,,,"false"
6379.00,"SINGLE PROTEIN","Q7RTP0",""," Magnesium transporter NIPA1 (NIPA1_HUMAN)","15","NIPA1",0.00,"false",0.00,0.00,0.00,841.00,34.54,0.00,,,,,"false"
6380.00,"SINGLE PROTEIN","A4FU49",""," SH3 domain-containing protein 21 (SH321_HUMAN)","1","SH3D21",0.00,"false",0.00,0.00,0.00,841.00,70.48,0.00,,,,,"false"
6381.00,"SINGLE PROTEIN","Q5TEC3",""," Zinc finger protein 697 (ZN697_HUMAN)","1","ZNF697",0.00,"false",0.00,0.00,0.00,841.00,60.42,0.00,,,,,"false"
6382.00,"SINGLE PROTEIN","Q9UQF2",""," C-Jun-amino-terminal kinase-interacting protein 1 (JIP1_HUMAN)","11","MAPK8IP1",0.00,"false",0.00,0.00,0.00,841.00,77.48,0.00,,,,,"false"
6383.00,"SINGLE PROTEIN","Q6P2N6","","Protein ADORA3, isoform 3 (AA3RB_HUMAN)","1","ADORA3",0.00,"false",0.00,0.00,0.00,841.00,30.31,0.00,,,,,"false"
6384.00,"UNRELATED PROTEINS","Q8NH48","Q96R08"," Olfactory receptor 5B3 (OR5B3_HUMAN)","11","OR5B3",0.00,"false",0.00,0.00,0.00,841.00,35.23,0.00,,,,,"false"
6385.00,"SINGLE PROTEIN","Q9BZS1",""," Forkhead box protein P3 (FOXP3_HUMAN)","X","FOXP3",0.00,"false",0.00,0.00,0.00,841.00,47.21,0.00,,,,,"false"
6386.00,"SINGLE PROTEIN","Q9BZR9",""," Probable E3 ubiquitin-protein ligase TRIM8 (TRIM8_HUMAN)","10","TRIM8",0.00,"false",0.00,0.00,0.00,841.00,61.45,0.00,,,,,"false"
6387.00,"SINGLE PROTEIN","Q9BZR8",""," Apoptosis facilitator Bcl-2-like protein 14 (B2L14_HUMAN)","12","BCL2L14",0.00,"false",0.00,0.00,0.00,841.00,36.58,0.00,,,,,"false"
6388.00,"SINGLE PROTEIN","Q9H0E2",""," Toll-interacting protein (TOLIP_HUMAN)","11","TOLLIP",0.00,"false",0.00,0.00,0.00,841.00,30.26,0.00,,,,,"false"
6389.00,"SINGLE PROTEIN","Q9H0E3",""," Histone deacetylase complex subunit SAP130 (SP130_HUMAN)","2","SAP130",0.00,"false",0.00,0.00,0.00,841.00,110.26,0.00,,,,,"false"
6390.00,"SINGLE PROTEIN","A0MZ66",""," Shootin-1 (SHOT1_HUMAN)","10","KIAA1598",0.00,"false",0.00,0.00,0.00,841.00,71.60,0.00,,,,,"false"
6391.00,"SINGLE PROTEIN","Q9H0D6",""," 5'-3' exoribonuclease 2 (XRN2_HUMAN)","20","XRN2",0.00,"false",0.00,0.00,0.00,841.00,108.51,0.00,,,,,"false"
6392.00,"SINGLE PROTEIN","Q9H0D2",""," Zinc finger protein 541 (ZN541_HUMAN)","19","ZNF541",0.00,"false",0.00,0.00,0.00,841.00,147.72,0.00,,,,,"false"
6393.00,"SINGLE PROTEIN","Q6NUP7",""," Serine/threonine-protein phosphatase 4 regulatory subunit 4 (PP4R4_HUMAN)","14","PPP4R4",0.00,"false",0.00,0.00,0.00,841.00,99.39,0.00,,,,,"false"
6394.00,"SINGLE PROTEIN","Q06136",""," 3-ketodihydrosphingosine reductase (KDSR_HUMAN)","18","KDSR",0.00,"false",0.00,0.00,0.00,841.00,36.16,0.00,,,,,"false"
6395.00,"RELATED AND UNRELATED PROTEINS","Q08477","Q9HBI6,Q9HCS2"," Docosahexaenoic acid omega-hydroxylase CYP4F3 (CP4F3_HUMAN)","19","CYP4F3",0.00,"false",0.00,0.00,0.00,841.00,59.81,0.00,,,,,"false"
6396.00,"SINGLE PROTEIN","O15409",""," Forkhead box protein P2 (FOXP2_HUMAN)","7","FOXP2",0.00,"false",0.00,0.00,0.00,841.00,79.87,0.00,,,,,"false"
6397.00,"SINGLE PROTEIN","Q9H0C8",""," Integrin-linked kinase-associated serine/threonine phosphatase 2C (ILKAP_HUMAN)","2","ILKAP",0.00,"false",0.00,0.00,0.00,841.00,42.88,0.00,,,,,"false"
6398.00,"SINGLE PROTEIN","O15400",""," Syntaxin-7 (STX7_HUMAN)","6","STX7",0.00,"false",0.00,0.00,0.00,841.00,29.80,0.00,,,,,"false"
6399.00,"SINGLE PROTEIN","O15405",""," TOX high mobility group box family member 3 (TOX3_HUMAN)","16","TOX3",0.00,"false",0.00,0.00,0.00,841.00,63.30,0.00,,,,,"false"
6400.00,"SINGLE PROTEIN","Q9H0C3",""," Transmembrane protein 117 (TM117_HUMAN)","12","TMEM117",0.00,"false",0.00,0.00,0.00,841.00,60.15,0.00,,,,,"false"
6401.00,"SINGLE PROTEIN","Q9H0C2",""," ADP/ATP translocase 4 (ADT4_HUMAN)","4","SLC25A31",0.00,"false",0.00,0.00,0.00,841.00,35.00,0.00,,,,,"false"
6402.00,"SINGLE PROTEIN","Q9H0C1",""," Zinc finger MYND domain-containing protein 12 (ZMY12_HUMAN)","1","ZMYND12",0.00,"false",0.00,0.00,0.00,841.00,41.79,0.00,,,,,"false"
6403.00,"SINGLE PROTEIN","Q6NUM6",""," S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (TYW1B_HUMAN)","7","TYW1B",0.00,"false",0.00,0.00,0.00,841.00,76.90,0.00,,,,,"false"
6404.00,"SINGLE PROTEIN","Q06124",""," Tyrosine-protein phosphatase non-receptor type 11 (PTN11_HUMAN)","12","PTPN11",0.00,"false",0.00,0.00,0.00,841.00,68.39,0.00,,,,,"false"
6405.00,"SINGLE PROTEIN","Q6NUM9",""," All-trans-retinol 13,14-reductase (RETST_HUMAN)","2","RETSAT",0.00,"false",0.00,0.00,0.00,841.00,66.78,0.00,,,,,"false"
6406.00,"SINGLE PROTEIN","A0AVT1",""," Ubiquitin-like modifier-activating enzyme 6 (UBA6_HUMAN)","4","UBA6",0.00,"false",0.00,0.00,0.00,841.00,117.90,0.00,,,,,"false"
6407.00,"SINGLE PROTEIN","Q9H0B8",""," Cysteine-rich secretory protein LCCL domain-containing 2 (CRLD2_HUMAN)","16","CRISPLD2",0.00,"false",0.00,0.00,0.00,841.00,55.88,0.00,,,,,"false"
6408.00,"SINGLE PROTEIN","Q9H0B3",""," Uncharacterized protein KIAA1683 (K1683_HUMAN)","19","KIAA1683",0.00,"false",0.00,0.00,0.00,841.00,127.61,0.00,,,,,"false"
6409.00,"SINGLE PROTEIN","O15417",""," Trinucleotide repeat-containing gene 18 protein (TNC18_HUMAN)","7","TNRC18",0.00,"false",0.00,0.00,0.00,841.00,314.33,0.00,,,,,"false"
6410.00,"SINGLE PROTEIN","Q6NUN7",""," Uncharacterized protein C11orf63 (CK063_HUMAN)","11","C11ORF63",0.00,"false",0.00,0.00,0.00,841.00,88.51,0.00,,,,,"false"
6411.00,"RELATED AND UNRELATED PROTEINS","A6NKQ9","P01233,Q6NT52"," Choriogonadotropin subunit beta variant 1 (CGB1_HUMAN)","19","CGB1",0.00,"false",0.00,0.00,0.00,841.00,20.45,0.00,,,,,"false"
6412.00,"RELATED PROTEINS","Q96BY6","Q9BZ29"," Dedicator of cytokinesis protein 10 (DOC10_HUMAN)","2","DOCK10",0.00,"false",0.00,0.00,0.00,841.00,249.37,0.00,,,,,"false"
6413.00,"SINGLE PROTEIN","Q9H0A9",""," Speriolin-like protein (SPC1L_HUMAN)","21","C21ORF56",0.00,"false",0.00,0.00,0.00,841.00,37.59,0.00,,,,,"false"
6414.00,"SINGLE PROTEIN","Q6NUN0",""," Acyl-coenzyme A synthetase ACSM5, mitochondrial (ACSM5_HUMAN)","16","ACSM5",0.00,"false",0.00,0.00,0.00,841.00,64.72,0.00,,,,,"false"
6415.00,"SINGLE PROTEIN","O15427",""," Monocarboxylate transporter 4 (MOT4_HUMAN)","17","SLC16A3",0.00,"false",0.00,0.00,0.00,841.00,49.44,0.00,,,,,"false"
6416.00,"RELATED PROTEINS","Q6VY07","Q86VP3"," Phosphofurin acidic cluster sorting protein 1 (PACS1_HUMAN)","11","PACS1",0.00,"false",0.00,0.00,0.00,841.00,104.83,0.00,,,,,"false"
6417.00,"SINGLE PROTEIN","Q9H0A3",""," Transmembrane protein 191A (T191A_HUMAN)","22","TMEM191A",0.00,"false",0.00,0.00,0.00,841.00,17.95,0.00,,,,,"false"
6418.00,"SINGLE PROTEIN","Q4VXU2",""," Polyadenylate-binding protein 1-like (PAP1L_HUMAN)","20","PABPC1L",0.00,"false",0.00,0.00,0.00,841.00,68.35,0.00,,,,,"false"
6419.00,"SINGLE PROTEIN","Q9H0I2",""," Enkurin domain-containing protein 1 (ENKD1_HUMAN)","16","C16ORF48",0.00,"false",0.00,0.00,0.00,841.00,38.74,0.00,,,,,"false"
6420.00,"SINGLE PROTEIN","Q9H0I3",""," Coiled-coil domain-containing protein 113 (CC113_HUMAN)","16","CCDC113",0.00,"false",0.00,0.00,0.00,841.00,44.19,0.00,,,,,"false"
6421.00,"SINGLE PROTEIN","Q5MY95",""," Ectonucleoside triphosphate diphosphohydrolase 8 (ENTP8_HUMAN)","9","ENTPD8",0.00,"false",0.00,0.00,0.00,841.00,53.87,0.00,,,,,"false"
6422.00,"SINGLE PROTEIN","Q6NUS6",""," Tectonic-3 (TECT3_HUMAN)","10","TCTN3",0.00,"false",0.00,0.00,0.00,841.00,66.11,0.00,,,,,"false"
6423.00,"SINGLE PROTEIN","Q9H0H9",""," Putative cytochrome P450 family member 4F30 (C4F30_HUMAN)","2","CYP4F30P",0.00,"false",0.00,0.00,0.00,841.00,12.41,0.00,,,,,"false"
6424.00,"SINGLE PROTEIN","Q9H0H5",""," Rac GTPase-activating protein 1 (RGAP1_HUMAN)","12","RACGAP1",0.00,"false",0.00,0.00,0.00,841.00,70.98,0.00,,,,,"false"
6425.00,"SINGLE PROTEIN","Q9H0H0",""," Integrator complex subunit 2 (INT2_HUMAN)","17","INTS2",0.00,"false",0.00,0.00,0.00,841.00,134.24,0.00,,,,,"false"
6426.00,"SINGLE PROTEIN","Q9H0H3",""," Kelch-like protein 25 (KLH25_HUMAN)","15","KLHL25",0.00,"false",0.00,0.00,0.00,841.00,65.88,0.00,,,,,"false"
6427.00,"SINGLE PROTEIN","Q5M775",""," Cytospin-B (CYTSB_HUMAN)","17","SPECC1",0.00,"false",0.00,0.00,0.00,841.00,118.51,0.00,,,,,"false"
6428.00,"SINGLE PROTEIN","P59282",""," Tubulin polymerization-promoting protein family member 2 (TPPP2_HUMAN)","14","TPPP2",0.00,"false",0.00,0.00,0.00,841.00,18.49,0.00,,,,,"false"
6429.00,"SINGLE PROTEIN","Q5C9Z4",""," Nucleolar MIF4G domain-containing protein 1 (NOM1_HUMAN)","7","NOM1",0.00,"false",0.00,0.00,0.00,841.00,96.20,0.00,,,,,"false"
6430.00,"SINGLE PROTEIN","Q6ZXV5",""," Transmembrane and TPR repeat-containing protein 3 (TMTC3_HUMAN)","12","TMTC3",0.00,"false",0.00,0.00,0.00,841.00,103.94,0.00,,,,,"false"
6431.00,"SINGLE PROTEIN","Q6NUT2",""," Probable C-mannosyltransferase DPY19L2 (D19L2_HUMAN)","12","DPY19L2",0.00,"false",0.00,0.00,0.00,841.00,87.32,0.00,,,,,"false"
6432.00,"SINGLE PROTEIN","Q6NUT3",""," Major facilitator superfamily domain-containing protein 12 (MFS12_HUMAN)","19","MFSD12",0.00,"false",0.00,0.00,0.00,841.00,52.04,0.00,,,,,"false"
6433.00,"SINGLE PROTEIN","Q9H0G5",""," Nuclear speckle splicing regulatory protein 1 (NSRP1_HUMAN)","17","NSRP1",0.00,"false",0.00,0.00,0.00,841.00,66.35,0.00,,,,,"false"
6434.00,"SINGLE PROTEIN","Q6NUQ4",""," Transmembrane protein 214 (TM214_HUMAN)","2","TMEM214",0.00,"false",0.00,0.00,0.00,841.00,77.10,0.00,,,,,"false"
6435.00,"RELATED PROTEINS","Q6EKJ0","Q86UP8"," General transcription factor II-I repeat domain-containing protein 2B (GTD2B_HUMAN)","7","GTF2IRD2B",0.00,"false",0.00,0.00,0.00,841.00,107.16,0.00,,,,,"false"
6436.00,"SINGLE PROTEIN","Q6NUQ1",""," RAD50-interacting protein 1 (RINT1_HUMAN)","7","RINT1",0.00,"false",0.00,0.00,0.00,841.00,90.57,0.00,,,,,"false"
6437.00,"SINGLE PROTEIN","Q9H0F7",""," ADP-ribosylation factor-like protein 6 (ARL6_HUMAN)","3","ARL6",0.00,"false",0.00,0.00,0.00,841.00,21.08,0.00,,,,,"false"
6438.00,"SINGLE PROTEIN","Q9H0F6",""," Sharpin (SHRPN_HUMAN)","8","SHARPIN",0.00,"false",0.00,0.00,0.00,841.00,39.92,0.00,,,,,"false"
6439.00,"SINGLE PROTEIN","Q9H0F5",""," E3 ubiquitin-protein ligase RNF38 (RNF38_HUMAN)","9","RNF38",0.00,"false",0.00,0.00,0.00,841.00,57.56,0.00,,,,,"false"
6440.00,"SINGLE PROTEIN","Q9H0E9",""," Bromodomain-containing protein 8 (BRD8_HUMAN)","5","BRD8",0.00,"false",0.00,0.00,0.00,841.00,135.25,0.00,,,,,"false"
6441.00,"SINGLE PROTEIN","Q9H0E7",""," Ubiquitin carboxyl-terminal hydrolase 44 (UBP44_HUMAN)","12","USP44",0.00,"false",0.00,0.00,0.00,841.00,81.13,0.00,,,,,"false"
6442.00,"SINGLE PROTEIN","P50895",""," Basal cell adhesion molecule (BCAM_HUMAN)","19","BCAM",0.00,"false",0.00,1.00,0.00,635.00,67.36,0.00,,,,,"false"
6443.00,"SINGLE PROTEIN","Q8NI77",""," Kinesin-like protein KIF18A (KI18A_HUMAN)","11","KIF18A",0.00,"false",0.00,0.00,0.00,841.00,102.22,0.00,,,,,"false"
6444.00,"SINGLE PROTEIN","Q8NHV9",""," Rhox homeobox family member 1 (RHXF1_HUMAN)","X","RHOXF1",0.00,"false",0.00,0.00,0.00,841.00,20.53,0.00,,,,,"false"
6445.00,"SINGLE PROTEIN","P62877",""," E3 ubiquitin-protein ligase RBX1 (RBX1_HUMAN)","22","RBX1",0.00,"false",0.00,0.00,0.00,841.00,12.27,0.00,,,,,"false"
6446.00,"SINGLE PROTEIN","P23284",""," Peptidyl-prolyl cis-trans isomerase B (PPIB_HUMAN)","15","PPIB",0.00,"false",0.00,0.00,0.00,841.00,23.73,0.00,,,,,"false"
6447.00,"SINGLE PROTEIN","A0AVI2",""," Fer-1-like protein 5 (FR1L5_HUMAN)","2","FER1L5",0.00,"false",0.00,0.00,0.00,841.00,241.81,0.00,,,,,"false"
6448.00,"SINGLE PROTEIN","P49895",""," Type I iodothyronine deiodinase (IOD1_HUMAN)","1","DIO1",0.00,"false",0.00,0.00,0.00,841.00,28.91,0.00,,,,,"false"
6449.00,"SINGLE PROTEIN","P35247",""," Pulmonary surfactant-associated protein D (SFTPD_HUMAN)","10","SFTPD",0.00,"false",0.00,0.00,0.00,841.00,37.70,0.00,,,,,"false"
6450.00,"SINGLE PROTEIN","P36578",""," 60S ribosomal protein L4 (RL4_HUMAN)","15","RPL4",0.00,"false",0.00,0.00,0.00,841.00,47.67,0.00,,,,,"false"
6451.00,"SINGLE PROTEIN","P35244",""," Replication protein A 14 kDa subunit (RFA3_HUMAN)","7","RPA3",0.00,"false",0.00,0.00,0.00,841.00,13.56,0.00,,,,,"false"
6452.00,"SINGLE PROTEIN","Q8NHV4",""," Protein NEDD1 (NEDD1_HUMAN)","12","NEDD1",0.00,"false",0.00,0.00,0.00,841.00,71.92,0.00,,,,,"false"
6453.00,"SINGLE PROTEIN","P35249",""," Replication factor C subunit 4 (RFC4_HUMAN)","3","RFC4",0.00,"false",0.00,0.00,0.00,841.00,39.66,0.00,,,,,"false"
6454.00,"SINGLE PROTEIN","Q8NHU6",""," Tudor domain-containing protein 7 (TDRD7_HUMAN)","9","TDRD7",0.00,"false",0.00,0.00,0.00,841.00,123.51,0.00,,,,,"false"
