"CSF-PR / CSF MIXED-MODE BOUND FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
4399.00,"SINGLE PROTEIN","Q15056",""," Eukaryotic translation initiation factor 4H (IF4H_HUMAN)","7","EIF4H",0.00,"false",0.00,0.00,0.00,547.00,27.37,0.00,,,,,"false"
4400.00,"SINGLE PROTEIN","O14976",""," Cyclin-G-associated kinase (GAK_HUMAN)","4","GAK",0.00,"false",0.00,0.00,0.00,547.00,143.10,0.00,,,,,"false"
4401.00,"SINGLE PROTEIN","Q5U649",""," Uncharacterized protein C12orf60 (CL060_HUMAN)","12","C12ORF60",0.00,"false",0.00,0.00,0.00,547.00,27.61,0.00,,,,,"false"
4402.00,"SINGLE PROTEIN","Q9H8Q6",""," Putative uncharacterized protein encoded by HEXA-AS1 (HEAS1_HUMAN)","15","HEXA-AS1",0.00,"false",0.00,0.00,0.00,547.00,16.09,0.00,,,,,"false"
4403.00,"SINGLE PROTEIN","Q92935",""," Exostosin-like 1 (EXTL1_HUMAN)","1","EXTL1",0.00,"false",0.00,0.00,0.00,547.00,74.65,0.00,,,,,"false"
4404.00,"SINGLE PROTEIN","P56159",""," GDNF family receptor alpha-1 (GFRA1_HUMAN)","10","GFRA1",0.00,"false",0.00,0.00,0.00,547.00,51.42,0.00,,,,,"false"
4405.00,"SINGLE PROTEIN","Q92934",""," Bcl2-associated agonist of cell death (BAD_HUMAN)","11","BAD",0.00,"false",0.00,0.00,0.00,547.00,18.38,0.00,,,,,"false"
4406.00,"SINGLE PROTEIN","Q5VZY2",""," Phosphatidate phosphatase PPAPDC1A (PPC1A_HUMAN)","10","PPAPDC1A",0.00,"false",0.00,0.00,0.00,547.00,30.37,0.00,,,,,"false"
4407.00,"SINGLE PROTEIN","Q00872",""," Myosin-binding protein C, slow-type (MYPC1_HUMAN)","12","MYBPC1",0.00,"false",0.00,0.00,0.00,547.00,128.21,0.00,,,,,"false"
4408.00,"SINGLE PROTEIN","O14901",""," Krueppel-like factor 11 (KLF11_HUMAN)","2","KLF11",0.00,"false",0.00,0.00,0.00,547.00,55.10,0.00,,,,,"false"
4409.00,"SINGLE PROTEIN","O14904",""," Protein Wnt-9a (WNT9A_HUMAN)","1","WNT9A",0.00,"false",0.00,0.00,0.00,547.00,40.29,0.00,,,,,"false"
4410.00,"SINGLE PROTEIN","Q15061",""," WD repeat-containing protein 43 (WDR43_HUMAN)","2","WDR43",0.00,"false",0.00,0.00,0.00,547.00,74.84,0.00,,,,,"false"
4411.00,"SINGLE PROTEIN","O14905",""," Protein Wnt-9b (WNT9B_HUMAN)","17","WNT9B",0.00,"false",0.00,0.00,0.00,547.00,38.98,0.00,,,,,"false"
4412.00,"SINGLE PROTEIN","O14908",""," PDZ domain-containing protein GIPC1 (GIPC1_HUMAN)","19","GIPC1",0.00,"false",0.00,0.00,0.00,547.00,36.03,0.00,,,,,"false"
4413.00,"SINGLE PROTEIN","Q92930",""," Ras-related protein Rab-8B (RAB8B_HUMAN)","15","RAB8B",0.00,"false",0.00,0.00,0.00,547.00,23.57,0.00,,,,,"false"
4414.00,"SINGLE PROTEIN","Q5SQQ9",""," Ventral anterior homeobox 1 (VAX1_HUMAN)","10","VAX1",0.00,"false",0.00,0.00,0.00,547.00,34.69,0.00,,,,,"false"
4415.00,"SINGLE PROTEIN","P01033",""," Metalloproteinase inhibitor 1 (TIMP1_HUMAN)","X","TIMP1",0.00,"false",0.00,0.00,0.00,547.00,23.16,0.00,,,,,"false"
4416.00,"SINGLE PROTEIN","P25021",""," Histamine H2 receptor (HRH2_HUMAN)","5","HRH2",0.00,"false",0.00,0.00,0.00,547.00,40.07,0.00,,,,,"false"
4417.00,"SINGLE PROTEIN","Q92925",""," SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 (SMRD2_HUMAN)","17","SMARCD2",0.00,"false",0.00,0.00,0.00,547.00,58.88,0.00,,,,,"false"
4418.00,"SINGLE PROTEIN","O43482",""," Protein Mis18-beta (MS18B_HUMAN)","15","OIP5",0.00,"false",0.00,0.00,0.00,547.00,24.68,0.00,,,,,"false"
4419.00,"SINGLE PROTEIN","O43488",""," Aflatoxin B1 aldehyde reductase member 2 (ARK72_HUMAN)","1","AKR7A2",0.00,"false",0.00,0.00,0.00,547.00,39.56,0.00,,,,,"false"
4420.00,"SINGLE PROTEIN","Q9H8P0",""," Polyprenol reductase (PORED_HUMAN)","4","SRD5A3",0.00,"false",0.00,0.00,0.00,547.00,36.50,0.00,,,,,"false"
4421.00,"SINGLE PROTEIN","Q9BYB4",""," Guanine nucleotide-binding protein subunit beta-like protein 1 (GNB1L_HUMAN)","22","GNB1L",0.00,"false",0.00,0.00,0.00,547.00,35.60,0.00,,,,,"false"
4422.00,"SINGLE PROTEIN","Q5U651",""," Ras-interacting protein 1 (RAIN_HUMAN)","19","RASIP1",0.00,"false",0.00,0.00,0.00,547.00,103.39,0.00,,,,,"false"
4423.00,"SINGLE PROTEIN","Q5T2Q4",""," Cyclin-Y-like protein 2 (CCYL2_HUMAN)","10","CCNYL2",0.00,"false",0.00,0.00,0.00,547.00,41.25,0.00,,,,,"false"
4424.00,"SINGLE PROTEIN","Q53TS8",""," Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 11 protein (AL2SA_HUMAN)","2","ALS2CR11",0.00,"false",0.00,0.00,0.00,547.00,71.11,0.00,,,,,"false"
4425.00,"SINGLE PROTEIN","Q5TCS8",""," Adenylate kinase 9 (KAD9_HUMAN)","6","AKD1",0.00,"false",0.00,0.00,0.00,547.00,221.27,0.00,,,,,"false"
4426.00,"SINGLE PROTEIN","P14373",""," Zinc finger protein RFP (TRI27_HUMAN)","6","TRIM27",0.00,"false",0.00,0.00,0.00,547.00,58.45,0.00,,,,,"false"
4427.00,"SINGLE PROTEIN","Q15072",""," Zinc finger protein OZF (OZF_HUMAN)","19","ZNF146",0.00,"false",0.00,0.00,0.00,547.00,33.29,0.00,,,,,"false"
4428.00,"SINGLE PROTEIN","Q9BYB0",""," SH3 and multiple ankyrin repeat domains protein 3 (SHAN3_HUMAN)","22","SHANK3",0.00,"false",0.00,0.00,0.00,547.00,186.18,0.00,,,,,"false"
4429.00,"SINGLE PROTEIN","Q15070",""," Mitochondrial inner membrane protein OXA1L (OXA1L_HUMAN)","14","OXA1L",0.00,"false",0.00,0.00,0.00,547.00,48.52,0.00,,,,,"false"
4430.00,"SINGLE PROTEIN","Q15077",""," P2Y purinoceptor 6 (P2RY6_HUMAN)","11","P2RY6",0.00,"false",0.00,0.00,0.00,547.00,36.41,0.00,,,,,"false"
4431.00,"SINGLE PROTEIN","Q15075",""," Early endosome antigen 1 (EEA1_HUMAN)","12","EEA1",0.00,"false",0.00,0.00,0.00,547.00,162.37,0.00,,,,,"false"
4432.00,"SINGLE PROTEIN","Q92922",""," SWI/SNF complex subunit SMARCC1 (SMRC1_HUMAN)","3","SMARCC1",0.00,"false",0.00,0.00,0.00,547.00,122.79,0.00,,,,,"false"
4433.00,"UNRELATED PROTEINS","Q8NFP9","P50851"," Neurobeachin (NBEA_HUMAN)","13","NBEA",0.00,"false",0.00,0.00,0.00,547.00,327.61,0.00,,,,,"false"
4434.00,"SINGLE PROTEIN","O43491",""," Band 4.1-like protein 2 (E41L2_HUMAN)","6","EPB41L2",0.00,"false",0.00,0.00,0.00,547.00,112.52,0.00,,,,,"false"
4435.00,"SINGLE PROTEIN","O43490",""," Prominin-1 (PROM1_HUMAN)","4","PROM1",0.00,"false",0.00,0.00,0.00,547.00,97.14,0.00,,,,,"false"
4436.00,"SINGLE PROTEIN","O14910",""," Protein lin-7 homolog A (LIN7A_HUMAN)","12","LIN7A",0.00,"false",0.00,0.00,0.00,547.00,25.98,0.00,,,,,"false"
4437.00,"SINGLE PROTEIN","Q9H903",""," Probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2 (MTD2L_HUMAN)","4","MTHFD2L",0.00,"false",0.00,0.00,0.00,547.00,37.29,0.00,,,,,"false"
4438.00,"SINGLE PROTEIN","O43451",""," Maltase-glucoamylase, intestinal (MGA_HUMAN)","7","MGAM",0.00,"false",0.00,0.00,0.00,547.00,209.72,0.00,,,,,"false"
4439.00,"SINGLE PROTEIN","Q92914",""," Fibroblast growth factor 11 (FGF11_HUMAN)","17","FGF11",0.00,"false",0.00,0.00,0.00,547.00,24.99,0.00,,,,,"false"
4440.00,"SINGLE PROTEIN","Q92913",""," Fibroblast growth factor 13 (FGF13_HUMAN)","X","FGF13",0.00,"false",0.00,0.00,0.00,547.00,27.55,0.00,,,,,"false"
4441.00,"SINGLE PROTEIN","Q9H900",""," Protein zwilch homolog (ZWILC_HUMAN)","15","ZWILCH",0.00,"false",0.00,0.00,0.00,547.00,67.17,0.00,,,,,"false"
4442.00,"SINGLE PROTEIN","P56179",""," Homeobox protein DLX-6 (DLX6_HUMAN)","7","DLX6",0.00,"false",0.00,0.00,0.00,547.00,19.70,0.00,,,,,"false"
4443.00,"SINGLE PROTEIN","Q92918",""," Mitogen-activated protein kinase kinase kinase kinase 1 (M4K1_HUMAN)","19","MAP4K1",0.00,"false",0.00,0.00,0.00,547.00,91.24,0.00,,,,,"false"
4444.00,"SINGLE PROTEIN","Q9H902",""," Receptor expression-enhancing protein 1 (REEP1_HUMAN)","2","REEP1",0.00,"false",0.00,0.00,0.00,547.00,22.24,0.00,,,,,"false"
4445.00,"SINGLE PROTEIN","Q92917",""," G patch domain and KOW motifs-containing protein (GPKOW_HUMAN)","X","GPKOW",0.00,"false",0.00,0.00,0.00,547.00,52.20,0.00,,,,,"false"
4446.00,"SINGLE PROTEIN","P81133",""," Single-minded homolog 1 (SIM1_HUMAN)","6","SIM1",0.00,"false",0.00,0.00,0.00,547.00,85.46,0.00,,,,,"false"
4447.00,"SINGLE PROTEIN","Q2YD98",""," UV-stimulated scaffold protein A (UVSSA_HUMAN)","4","UVSSA",0.00,"false",0.00,0.00,0.00,547.00,80.54,0.00,,,,,"false"
4448.00,"SINGLE PROTEIN","Q9UP38",""," Frizzled-1 (FZD1_HUMAN)","7","FZD1",0.00,"false",0.00,0.00,0.00,547.00,71.11,0.00,,,,,"false"
4449.00,"SINGLE PROTEIN","Q12809",""," Potassium voltage-gated channel subfamily H member 2 (KCNH2_HUMAN)","7","KCNH2",0.00,"false",0.00,0.00,0.00,547.00,126.57,0.00,,,,,"false"
4450.00,"SINGLE PROTEIN","O14924",""," Regulator of G-protein signaling 12 (RGS12_HUMAN)","4","RGS12",0.00,"false",0.00,0.00,0.00,547.00,156.26,0.00,,,,,"false"
4451.00,"SINGLE PROTEIN","O14926",""," Fascin-2 (FSCN2_HUMAN)","17","FSCN2",0.00,"false",0.00,0.00,0.00,547.00,55.02,0.00,,,,,"false"
4452.00,"SINGLE PROTEIN","P13010",""," X-ray repair cross-complementing protein 5 (XRCC5_HUMAN)","2","XRCC5",0.00,"false",0.00,0.00,0.00,547.00,82.65,0.00,,,,,"false"
4453.00,"SINGLE PROTEIN","Q15084",""," Protein disulfide-isomerase A6 (PDIA6_HUMAN)","2","PDIA6",0.00,"false",0.00,0.00,0.00,547.00,48.09,0.00,,,,,"false"
4454.00,"SINGLE PROTEIN","A7KAX9",""," Rho GTPase-activating protein 32 (RHG32_HUMAN)","11","ARHGAP32",0.00,"false",0.00,0.00,0.00,547.00,230.38,0.00,,,,,"false"
4455.00,"SINGLE PROTEIN","O14920",""," Inhibitor of nuclear factor kappa-B kinase subunit beta (IKKB_HUMAN)","8","IKBKB",0.00,"false",0.00,0.00,0.00,547.00,86.51,0.00,,,,,"false"
4456.00,"SINGLE PROTEIN","Q92911",""," Sodium/iodide cotransporter (SC5A5_HUMAN)","19","SLC5A5",0.00,"false",0.00,0.00,0.00,547.00,68.62,0.00,,,,,"false"
4457.00,"SINGLE PROTEIN","P56182",""," Ribosomal RNA processing protein 1 homolog A (RRP1_HUMAN)","21","RRP1",0.00,"false",0.00,0.00,0.00,547.00,52.81,0.00,,,,,"false"
4458.00,"SINGLE PROTEIN","O43463",""," Histone-lysine N-methyltransferase SUV39H1 (SUV91_HUMAN)","X","SUV39H1",0.00,"false",0.00,0.00,0.00,547.00,47.88,0.00,,,,,"false"
4459.00,"SINGLE PROTEIN","Q5U5R9",""," Probable E3 ubiquitin-protein ligase HECTD2 (HECD2_HUMAN)","10","HECTD2",0.00,"false",0.00,0.00,0.00,547.00,88.07,0.00,,,,,"false"
4460.00,"SINGLE PROTEIN","Q8TAX9",""," Gasdermin-B (GSDMB_HUMAN)","17","GSDMB",0.00,"false",0.00,0.00,0.00,547.00,46.76,0.00,,,,,"false"
4461.00,"SINGLE PROTEIN","Q92908",""," Transcription factor GATA-6 (GATA6_HUMAN)","18","GATA6",0.00,"false",0.00,0.00,0.00,547.00,59.99,0.00,,,,,"false"
4462.00,"SINGLE PROTEIN","P40617",""," ADP-ribosylation factor-like protein 4A (ARL4A_HUMAN)","7","ARL4A",0.00,"false",0.00,0.00,0.00,547.00,22.60,0.00,,,,,"false"
4463.00,"SINGLE PROTEIN","Q92905",""," COP9 signalosome complex subunit 5 (CSN5_HUMAN)","8","COPS5",0.00,"false",0.00,0.00,0.00,547.00,37.55,0.00,,,,,"false"
4464.00,"SINGLE PROTEIN","Q12815",""," Tastin (TROAP_HUMAN)","12","TROAP",0.00,"false",0.00,0.00,0.00,547.00,83.80,0.00,,,,,"false"
4465.00,"SINGLE PROTEIN","Q12816",""," Trophinin (TROP_HUMAN)","X","TRO",0.00,"false",0.00,0.00,0.00,547.00,143.63,0.00,,,,,"false"
4466.00,"SINGLE PROTEIN","Q5JX71",""," Protein FAM209A (F209A_HUMAN)","20","FAM209A",0.00,"false",0.00,0.00,0.00,547.00,19.59,0.00,,,,,"false"
4467.00,"SINGLE PROTEIN","O14939",""," Phospholipase D2 (PLD2_HUMAN)","17","PLD2",0.00,"false",0.00,0.00,0.00,547.00,105.92,0.00,,,,,"false"
4468.00,"SINGLE PROTEIN","A5PKW4",""," PH and SEC7 domain-containing protein 1 (PSD1_HUMAN)","10","PSD",0.00,"false",0.00,0.00,0.00,547.00,109.48,0.00,,,,,"false"
4469.00,"SINGLE PROTEIN","Q6MZW2",""," Follistatin-related protein 4 (FSTL4_HUMAN)","5","FSTL4",0.00,"false",0.00,0.00,0.00,547.00,93.04,0.00,,,,,"false"
4470.00,"SINGLE PROTEIN","Q8TAX0",""," Protein odd-skipped-related 1 (OSR1_HUMAN)","2","OSR1",0.00,"false",0.00,0.00,0.00,547.00,29.59,0.00,,,,,"false"
4471.00,"SINGLE PROTEIN","P40616",""," ADP-ribosylation factor-like protein 1 (ARL1_HUMAN)","12","ARL1",0.00,"false",0.00,0.00,0.00,547.00,20.40,0.00,,,,,"false"
4472.00,"SINGLE PROTEIN","Q9H8M9",""," Protein eva-1 homolog A (EVA1A_HUMAN)","2","FAM176A",0.00,"false",0.00,0.00,0.00,547.00,17.46,0.00,,,,,"false"
4473.00,"SINGLE PROTEIN","Q6JQN1",""," Acyl-CoA dehydrogenase family member 10 (ACD10_HUMAN)","12","ACAD10",0.00,"false",0.00,0.00,0.00,547.00,118.76,0.00,,,,,"false"
4474.00,"SINGLE PROTEIN","Q92900",""," Regulator of nonsense transcripts 1 (RENT1_HUMAN)","19","UPF1",0.00,"false",0.00,0.00,0.00,547.00,124.27,0.00,,,,,"false"
4475.00,"SINGLE PROTEIN","Q9H8M5",""," Metal transporter CNNM2 (CNNM2_HUMAN)","10","CNNM2",0.00,"false",0.00,0.00,0.00,547.00,96.56,0.00,,,,,"false"
4476.00,"SINGLE PROTEIN","O14933",""," Ubiquitin/ISG15-conjugating enzyme E2 L6 (UB2L6_HUMAN)","11","UBE2L6",0.00,"false",0.00,0.00,0.00,547.00,17.76,0.00,,,,,"false"
4477.00,"SINGLE PROTEIN","Q6W5P4",""," Neuropeptide S receptor (NPSR1_HUMAN)","7","NPSR1",0.00,"false",0.00,0.00,0.00,547.00,42.66,0.00,,,,,"false"
4478.00,"SINGLE PROTEIN","Q9H8M7",""," Protein FAM188A (F188A_HUMAN)","10","FAM188A",0.00,"false",0.00,0.00,0.00,547.00,49.69,0.00,,,,,"false"
4479.00,"SINGLE PROTEIN","Q8TC20",""," Cancer-associated gene 1 protein (CAGE1_HUMAN)","6","CAGE1",0.00,"false",0.00,0.00,0.00,547.00,90.19,0.00,,,,,"false"
4480.00,"SINGLE PROTEIN","Q9BYX4",""," Interferon-induced helicase C domain-containing protein 1 (IFIH1_HUMAN)","2","IFIH1",0.00,"false",0.00,0.00,0.00,547.00,116.61,0.00,,,,,"false"
4481.00,"SINGLE PROTEIN","Q8TC21",""," Zinc finger protein 596 (ZN596_HUMAN)","8","ZNF596",0.00,"false",0.00,0.00,0.00,547.00,58.47,0.00,,,,,"false"
4482.00,"SINGLE PROTEIN","Q9BYX2",""," TBC1 domain family member 2A (TBD2A_HUMAN)","9","TBC1D2",0.00,"false",0.00,0.00,0.00,547.00,105.35,0.00,,,,,"false"
4483.00,"SINGLE PROTEIN","Q9BYX7",""," Putative beta-actin-like protein 3 (ACTBM_HUMAN)","2","POTEKP",0.00,"false",0.00,0.00,0.00,547.00,41.99,0.00,,,,,"false"
4484.00,"SINGLE PROTEIN","P19174",""," 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (PLCG1_HUMAN)","20","PLCG1",0.00,"false",0.00,0.00,0.00,547.00,148.44,0.00,,,,,"false"
4485.00,"RELATED PROTEINS","P49336","Q9BWU1"," Cyclin-dependent kinase 8 (CDK8_HUMAN)","13","CDK8",0.00,"false",0.00,0.00,0.00,547.00,53.25,0.00,,,,,"false"
4486.00,"SINGLE PROTEIN","P20160",""," Azurocidin (CAP7_HUMAN)","19","AZU1",0.00,"false",0.00,0.00,0.00,547.00,26.87,0.00,,,,,"false"
4487.00,"RELATED PROTEINS","Q8WXH2","Q9BR39"," Junctophilin-3 (JPH3_HUMAN)","16","JPH3",0.00,"false",0.00,0.00,0.00,547.00,81.42,0.00,,,,,"false"
4488.00,"SINGLE PROTEIN","O43559",""," Fibroblast growth factor receptor substrate 3 (FRS3_HUMAN)","6","FRS3",0.00,"false",0.00,0.00,0.00,547.00,54.43,0.00,,,,,"false"
4489.00,"SINGLE PROTEIN","Q8TC29",""," Enkurin (ENKUR_HUMAN)","10","ENKUR",0.00,"false",0.00,0.00,0.00,547.00,29.44,0.00,,,,,"false"
4490.00,"SINGLE PROTEIN","Q9UPN4",""," Centrosomal protein of 131 kDa (CP131_HUMAN)","17","AZI1",0.00,"false",0.00,0.00,0.00,547.00,122.08,0.00,,,,,"false"
4491.00,"SINGLE PROTEIN","O43556",""," Epsilon-sarcoglycan (SGCE_HUMAN)","7","SGCE",0.00,"false",0.00,0.00,0.00,547.00,49.82,0.00,,,,,"false"
4492.00,"SINGLE PROTEIN","Q9UPN9",""," E3 ubiquitin-protein ligase TRIM33 (TRI33_HUMAN)","1","TRIM33",0.00,"false",0.00,0.00,0.00,547.00,122.46,0.00,,,,,"false"
4493.00,"SINGLE PROTEIN","Q96ET8",""," Golgi apparatus membrane protein TVP23 homolog C (TV23C_HUMAN)","17","FAM18B2",0.00,"false",0.00,0.00,0.00,547.00,31.08,0.00,,,,,"false"
4494.00,"SINGLE PROTEIN","Q8TC27",""," Disintegrin and metalloproteinase domain-containing protein 32 (ADA32_HUMAN)","8","ADAM32",0.00,"false",0.00,0.00,0.00,547.00,87.89,0.00,,,,,"false"
4495.00,"SINGLE PROTEIN","Q9UPN7",""," Serine/threonine-protein phosphatase 6 regulatory subunit 1 (PP6R1_HUMAN)","19","PPP6R1",0.00,"false",0.00,0.00,0.00,547.00,96.66,0.00,,,,,"false"
4496.00,"SINGLE PROTEIN","Q6P1R3",""," Myb/SANT-like DNA-binding domain-containing protein 2 (MSD2_HUMAN)","11","MSANTD2",0.00,"false",0.00,0.00,0.00,547.00,61.28,0.00,,,,,"false"
4497.00,"SINGLE PROTEIN","Q5TDH0",""," Protein DDI1 homolog 2 (DDI2_HUMAN)","1","DDI2",0.00,"false",0.00,0.00,0.00,547.00,44.49,0.00,,,,,"false"
4498.00,"RELATED PROTEINS","A6NDE4","A6NEQ0,P0C7P1,P0DJD3,P0DJD4,Q15415"," RNA-binding motif protein, Y chromosome, family 1 member B (RBY1B_HUMAN)","Y","RBMY1B",0.00,"false",0.00,0.00,0.00,547.00,55.80,0.00,,,,,"false"
4499.00,"SINGLE PROTEIN","P07196",""," Neurofilament light polypeptide (NFL_HUMAN)","8","NEFL",0.00,"false",0.00,0.00,0.00,547.00,61.48,0.00,,,,,"false"
4500.00,"SINGLE PROTEIN","P45452",""," Collagenase 3 (MMP13_HUMAN)","11","MMP13",0.00,"false",0.00,0.00,0.00,547.00,53.79,0.00,,,,,"false"
4501.00,"SINGLE PROTEIN","P20155",""," Serine protease inhibitor Kazal-type 2 (ISK2_HUMAN)","4","SPINK2",0.00,"false",0.00,0.00,0.00,547.00,9.28,0.00,,,,,"false"
4502.00,"SINGLE PROTEIN","P07199",""," Major centromere autoantigen B (CENPB_HUMAN)","20","CENPB",0.00,"false",0.00,0.00,0.00,547.00,65.13,0.00,,,,,"false"
4503.00,"SINGLE PROTEIN","Q6P1R4",""," tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like (DUS1L_HUMAN)","17","DUS1L",0.00,"false",0.00,0.00,0.00,547.00,53.20,0.00,,,,,"false"
4504.00,"SINGLE PROTEIN","Q5T3F8",""," CSC1-like protein 2 (CSCL2_HUMAN)","6","TMEM63B",0.00,"false",0.00,0.00,0.00,547.00,94.90,0.00,,,,,"false"
4505.00,"SINGLE PROTEIN","Q8TBP0",""," TBC1 domain family member 16 (TBC16_HUMAN)","17","TBC1D16",0.00,"false",0.00,0.00,0.00,547.00,86.32,0.00,,,,,"false"
4506.00,"SINGLE PROTEIN","Q9BYW2",""," Histone-lysine N-methyltransferase SETD2 (SETD2_HUMAN)","3","SETD2",0.00,"false",0.00,0.00,0.00,547.00,287.42,0.00,,,,,"false"
4507.00,"RELATED PROTEINS","Q3L8U1","Q9HCK8"," Chromodomain-helicase-DNA-binding protein 9 (CHD9_HUMAN)","16","CHD9",0.00,"false",0.00,0.00,0.00,547.00,325.82,0.00,,,,,"false"
4508.00,"SINGLE PROTEIN","Q8TC12",""," Retinol dehydrogenase 11 (RDH11_HUMAN)","14","RDH11",0.00,"false",0.00,0.00,0.00,547.00,35.36,0.00,,,,,"false"
4509.00,"SINGLE PROTEIN","P04920",""," Anion exchange protein 2 (B3A2_HUMAN)","7","SLC4A2",0.00,"false",0.00,0.00,0.00,547.00,136.92,0.00,,,,,"false"
4510.00,"SINGLE PROTEIN","O43566",""," Regulator of G-protein signaling 14 (RGS14_HUMAN)","5","RGS14",0.00,"false",0.00,0.00,0.00,547.00,61.41,0.00,,,,,"false"
4511.00,"SINGLE PROTEIN","Q6YN16",""," Hydroxysteroid dehydrogenase-like protein 2 (HSDL2_HUMAN)","9","HSDL2",0.00,"false",0.00,0.00,0.00,547.00,45.37,0.00,,,,,"false"
4512.00,"SINGLE PROTEIN","Q9UQ03",""," Coronin-2B (COR2B_HUMAN)","15","CORO2B",0.00,"false",0.00,0.00,0.00,547.00,54.92,0.00,,,,,"false"
4513.00,"SINGLE PROTEIN","P46782",""," 40S ribosomal protein S5 (RS5_HUMAN)","19","RPS5",0.00,"false",0.00,0.00,0.00,547.00,22.86,0.00,,,,,"false"
4514.00,"SINGLE PROTEIN","P46781",""," 40S ribosomal protein S9 (RS9_HUMAN)","19","RPS9",0.00,"false",0.00,0.00,0.00,547.00,22.58,0.00,,,,,"false"
4515.00,"SINGLE PROTEIN","Q9UQ05",""," Potassium voltage-gated channel subfamily H member 4 (KCNH4_HUMAN)","17","KCNH4",0.00,"false",0.00,0.00,0.00,547.00,111.62,0.00,,,,,"false"
4516.00,"RELATED PROTEINS","Q7Z3Y8","Q7Z3Z0"," Keratin, type I cytoskeletal 27 (K1C27_HUMAN)","17","KRT27",0.00,"false",0.00,0.00,0.00,547.00,49.79,0.00,,,,,"false"
4517.00,"SINGLE PROTEIN","Q8TBP5",""," Membrane protein FAM174A (F174A_HUMAN)","5","FAM174A",0.00,"false",0.00,0.00,0.00,547.00,19.94,0.00,,,,,"false"
4518.00,"SINGLE PROTEIN","Q8TBP6",""," Solute carrier family 25 member 40 (S2540_HUMAN)","7","SLC25A40",0.00,"false",0.00,0.00,0.00,547.00,38.10,0.00,,,,,"false"
4519.00,"SINGLE PROTEIN","Q96F46",""," Interleukin-17 receptor A (I17RA_HUMAN)","22","IL17RA",0.00,"false",0.00,0.00,0.00,547.00,96.06,0.00,,,,,"false"
4520.00,"SINGLE PROTEIN","Q6P1S2",""," Protein C3orf33 (CC033_HUMAN)","3","C3ORF33",0.00,"false",0.00,0.00,0.00,547.00,33.74,0.00,,,,,"false"
4521.00,"SINGLE PROTEIN","Q9BYV9",""," Transcription regulator protein BACH2 (BACH2_HUMAN)","6","BACH2",0.00,"false",0.00,0.00,0.00,547.00,92.48,0.00,,,,,"false"
4522.00,"SINGLE PROTEIN","Q9BYV8",""," Centrosomal protein of 41 kDa (CEP41_HUMAN)","7","CEP41",0.00,"false",0.00,0.00,0.00,547.00,41.34,0.00,,,,,"false"
4523.00,"SINGLE PROTEIN","Q9H9E3",""," Conserved oligomeric Golgi complex subunit 4 (COG4_HUMAN)","16","COG4",0.00,"false",0.00,0.00,0.00,547.00,89.03,0.00,,,,,"false"
4524.00,"SINGLE PROTEIN","Q16401",""," 26S proteasome non-ATPase regulatory subunit 5 (PSMD5_HUMAN)","9","PSMD5",0.00,"false",0.00,0.00,0.00,547.00,56.16,0.00,,,,,"false"
4525.00,"SINGLE PROTEIN","P46777",""," 60S ribosomal protein L5 (RL5_HUMAN)","1","RPL5",0.00,"false",0.00,0.00,0.00,547.00,34.34,0.00,,,,,"false"
4526.00,"SINGLE PROTEIN","P46779",""," 60S ribosomal protein L28 (RL28_HUMAN)","19","RPL28",0.00,"false",0.00,0.00,0.00,547.00,15.74,0.00,,,,,"false"
4527.00,"SINGLE PROTEIN","Q9UQ10",""," Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (DHDH_HUMAN)","19","DHDH",0.00,"false",0.00,0.00,0.00,547.00,36.36,0.00,,,,,"false"
4528.00,"SINGLE PROTEIN","Q9BZ71",""," Membrane-associated phosphatidylinositol transfer protein 3 (PITM3_HUMAN)","17","PITPNM3",0.00,"false",0.00,0.00,0.00,547.00,106.71,0.00,,,,,"false"
4529.00,"SINGLE PROTEIN","Q9BYV1",""," Alanine--glyoxylate aminotransferase 2, mitochondrial (AGT2_HUMAN)","5","AGXT2",0.00,"false",0.00,0.00,0.00,547.00,57.12,0.00,,,,,"false"
4530.00,"SINGLE PROTEIN","Q9BYV6",""," Tripartite motif-containing protein 55 (TRI55_HUMAN)","8","TRIM55",0.00,"false",0.00,0.00,0.00,547.00,60.43,0.00,,,,,"false"
4531.00,"SINGLE PROTEIN","Q9UPP2",""," IQ motif and SEC7 domain-containing protein 3 (IQEC3_HUMAN)","12","IQSEC3",0.00,"false",0.00,0.00,0.00,547.00,127.54,0.00,,,,,"false"
4532.00,"SINGLE PROTEIN","Q9UPP1",""," Histone lysine demethylase PHF8 (PHF8_HUMAN)","X","PHF8",0.00,"false",0.00,0.00,0.00,547.00,117.79,0.00,,,,,"false"
